"","pid","id.x","block_order","reversal_timings","id.y","run","block","block_type","trial_num","cue_time","action","action_time","reward","reward_time","rt","craving_rating","mood_rating","pid_db","trial","reversal","choice","opt_act","opt"
"1","54e32a60fdf99b3eae9de85b",73,"['numberbar_pos', 'numberbar_mixed', 'numberbar_neg']","B",6281,"3","block_one","numberbar_pos",1,1677868485.314,0,1677868485.782,0,1677868488.814,0.468000173568726,-1,-1,54,1,0,1,1,1
"2","54e32a60fdf99b3eae9de85b",73,"['numberbar_pos', 'numberbar_mixed', 'numberbar_neg']","B",6282,"3","block_one","numberbar_pos",2,1677868489.815,1,1677868490.064,0,1677868493.081,0.248999834060669,-1,-1,54,2,0,0,1,0
"3","54e32a60fdf99b3eae9de85b",73,"['numberbar_pos', 'numberbar_mixed', 'numberbar_neg']","B",6284,"3","block_one","numberbar_pos",3,1677868494.082,1,1677868494.766,0,1677868497.8,0.684000015258789,-1,-1,54,3,0,0,1,0
"4","54e32a60fdf99b3eae9de85b",73,"['numberbar_pos', 'numberbar_mixed', 'numberbar_neg']","B",6285,"3","block_one","numberbar_pos",4,1677868498.817,0,1677868499.1,0,1677868502.118,0.282999992370605,-1,-1,54,4,0,1,1,1
"5","54e32a60fdf99b3eae9de85b",73,"['numberbar_pos', 'numberbar_mixed', 'numberbar_neg']","B",6288,"3","block_one","numberbar_pos",5,1677868503.135,0,1677868504.12,1,1677868507.137,0.984999895095825,-1,-1,54,5,0,1,1,1
"6","54e32a60fdf99b3eae9de85b",73,"['numberbar_pos', 'numberbar_mixed', 'numberbar_neg']","B",6289,"3","block_one","numberbar_pos",6,1677868508.139,0,1677868508.37,1,1677868511.405,0.230999946594238,-1,-1,54,6,0,1,1,1
"7","54e32a60fdf99b3eae9de85b",73,"['numberbar_pos', 'numberbar_mixed', 'numberbar_neg']","B",6291,"3","block_one","numberbar_pos",7,1677868512.405,0,1677868513.193,1,1677868516.224,0.788000106811523,-1,-1,54,7,0,1,1,1
"8","54e32a60fdf99b3eae9de85b",73,"['numberbar_pos', 'numberbar_mixed', 'numberbar_neg']","B",6293,"3","block_one","numberbar_pos",8,1677868517.24,0,1677868517.331,1,1677868520.325,0.0910000801086426,-1,-1,54,8,0,1,1,1
"9","54e32a60fdf99b3eae9de85b",73,"['numberbar_pos', 'numberbar_mixed', 'numberbar_neg']","B",6295,"3","block_one","numberbar_pos",9,1677868521.325,0,1677868522.209,0,1677868525.21,0.884000062942505,-1,-1,54,9,0,1,1,1
"10","54e32a60fdf99b3eae9de85b",73,"['numberbar_pos', 'numberbar_mixed', 'numberbar_neg']","B",6297,"3","block_one","numberbar_pos",10,1677868526.21,1,1677868526.744,1,1677868529.779,0.533999919891357,-1,-1,54,10,0,0,1,0
